State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Total day minutes (normalized)
VA,68,408,Yes,No,0,148.5,126.0,25.25,219.4,125.0,18.65,198.5,121.0,8.93,14.5,7,3.92,1.0,True,0.42331812998859747
GA,135,415,No,Yes,22,197.1,113.0,33.51,259.4,95.0,22.05,134.7,135.0,6.06,14.6,5,3.94,2.0,False,0.5618586088939567
AZ,100,415,No,Yes,26,153.7,115.0,26.13,137.8,146.0,11.71,213.5,104.0,9.61,15.9,5,4.29,1.0,False,0.4381413911060433
MN,96,415,No,Yes,27,261.3,96.0,44.42,220.9,101.0,18.78,179.4,97.0,8.07,11.3,2,3.05,1.0,False,0.7448688711516533
ME,108,510,No,No,0,246.2,102.0,41.85,202.4,134.0,17.2,180.1,95.0,8.1,9.4,5,2.54,1.0,False,0.7018244013683009
FL,84,510,No,No,0,191.0,88.0,32.47,318.8,119.0,27.1,247.3,79.0,11.13,6.5,4,1.76,0.0,False,0.5444697833523375
WA,134,408,No,No,0,208.3,86.0,35.41,253.6,89.0,21.56,291.0,86.0,13.1,12.6,3,3.4,1.0,False,0.5937856328392247
MT,72,415,No,No,0,253.0,73.0,43.01,219.3,78.0,18.64,210.8,89.0,9.49,9.8,4,2.65,0.0,False,0.7212086659064995
AL,83,408,No,No,0,202.3,87.0,34.39,201.5,111.0,17.13,101.7,82.0,4.58,6.8,4,1.84,0.0,False,0.5766818700114025
WV,137,408,No,No,0,174.4,120.0,29.65,156.3,98.0,13.29,136.5,121.0,6.14,10.2,5,2.75,0.0,False,0.49714937286202965
GA,56,415,No,Yes,30,127.1,89.0,21.61,172.1,116.0,14.63,194.6,111.0,8.76,12.1,3,3.27,1.0,False,0.3623147092360319
OH,61,510,Yes,Yes,16,143.5,76.0,24.4,242.6,58.0,20.62,147.7,95.0,6.65,11.3,3,3.05,0.0,False,0.4090649942987457
DE,171,510,No,Yes,17,186.9,94.0,31.77,240.0,138.0,20.4,200.9,64.0,9.04,5.8,3,1.57,1.0,False,0.5327822120866591
NE,123,510,No,No,0,194.0,118.0,32.98,242.0,114.0,20.57,146.3,108.0,6.58,12.1,4,3.27,1.0,False,0.5530216647662486
FL,58,510,No,No,0,234.8,89.0,39.92,106.8,131.0,9.08,178.5,122.0,8.03,9.9,6,2.67,0.0,False,0.669327251995439
AK,156,510,No,No,0,123.7,96.0,21.03,103.0,80.0,8.76,189.4,82.0,8.52,13.1,4,3.54,1.0,False,0.3526225769669327
WI,166,510,No,No,0,173.9,103.0,29.56,276.4,83.0,23.49,190.8,113.0,8.59,15.3,5,4.13,0.0,False,0.4957240592930445
WA,75,510,No,Yes,41,130.9,115.0,22.25,203.4,110.0,17.29,171.7,68.0,7.73,12.4,4,3.35,1.0,False,0.3731470923603193
KY,75,415,No,No,0,314.6,102.0,53.48,169.8,86.0,14.43,285.1,100.0,12.83,5.7,3,1.54,2.0,True,0.8968072976054733
OH,83,510,No,No,0,227.9,78.0,38.74,207.5,115.0,17.64,211.7,100.0,9.53,12.1,5,3.27,1.0,False,0.6496579247434435
UT,243,510,No,No,0,95.5,92.0,16.24,163.7,63.0,13.91,264.2,118.0,11.89,6.6,6,1.78,2.0,False,0.27223489167616877
NM,153,408,No,No,0,185.3,127.0,31.5,208.0,73.0,17.68,206.1,124.0,9.27,15.1,3,4.08,1.0,False,0.5282212086659065
MN,150,415,No,No,0,146.3,133.0,24.87,202.7,95.0,17.23,234.7,103.0,10.56,13.1,3,3.54,1.0,False,0.4170467502850627
WV,92,510,No,Yes,16,184.0,99.0,31.28,76.4,134.0,6.49,185.1,96.0,8.33,12.7,3,3.43,2.0,False,0.5245153933865451
MN,80,415,No,No,0,105.8,110.0,17.99,43.9,88.0,3.73,189.6,87.0,8.53,13.1,5,3.54,0.0,False,0.30159635119726336
AL,134,415,No,No,0,178.0,110.0,30.26,153.8,64.0,13.07,236.6,105.0,10.65,11.7,4,3.16,1.0,False,0.5074116305587228
PA,77,510,No,Yes,24,149.4,74.0,25.4,123.9,72.0,10.53,174.3,84.0,7.84,10.1,6,2.73,1.0,False,0.4258836944127708
DE,147,510,No,No,0,209.4,104.0,35.6,132.5,78.0,11.26,149.4,123.0,6.72,11.3,3,3.05,2.0,False,0.596921322690992
MO,74,415,No,No,0,172.1,105.0,29.26,211.7,99.0,17.99,182.2,105.0,8.2,11.6,6,3.13,1.0,False,0.4905929304446978
IL,138,510,Yes,No,0,169.3,82.0,28.78,217.9,147.0,18.52,184.2,77.0,8.29,9.4,9,2.54,1.0,False,0.48261117445838086
FL,143,415,No,No,0,119.1,117.0,20.25,287.7,136.0,24.45,223.0,100.0,10.04,12.2,4,3.29,0.0,False,0.33950969213226906
HI,64,415,No,No,0,194.2,147.0,33.01,173.4,87.0,14.74,268.7,114.0,12.09,5.5,2,1.49,2.0,False,0.5535917901938426
ME,120,510,No,No,0,198.8,56.0,33.8,230.1,73.0,19.56,119.8,81.0,5.39,9.9,3,2.67,2.0,False,0.5667046750285063
CO,121,408,Yes,No,0,167.7,94.0,28.51,93.7,121.0,7.96,241.3,115.0,10.86,13.4,1,3.62,3.0,True,0.47805017103762826
NH,88,415,No,No,0,202.2,86.0,34.37,216.8,93.0,18.43,239.4,99.0,10.77,11.8,2,3.19,2.0,False,0.5763968072976055
SC,87,408,No,No,0,322.5,106.0,54.83,204.6,93.0,17.39,186.2,128.0,8.38,9.4,4,2.54,2.0,True,0.919327251995439
IN,100,510,No,No,0,216.2,107.0,36.75,215.6,84.0,18.33,138.4,127.0,6.23,10.2,3,2.75,0.0,False,0.6163055872291904
FL,104,415,No,No,0,76.4,116.0,12.99,115.6,74.0,9.83,226.3,94.0,10.18,9.4,3,2.54,3.0,False,0.217787913340935
GA,27,510,No,No,0,72.7,75.0,12.36,208.6,117.0,17.73,65.8,71.0,2.96,9.9,3,2.67,1.0,False,0.2072405929304447
IL,81,415,No,Yes,31,210.4,100.0,35.77,225.5,97.0,19.17,168.7,120.0,7.59,9.7,4,2.62,0.0,False,0.5997719498289623
NC,64,510,Yes,Yes,33,127.2,93.0,21.62,162.9,104.0,13.85,247.4,109.0,11.13,8.1,13,2.19,0.0,False,0.36259977194982895
VT,107,510,No,Yes,28,201.8,79.0,34.31,304.9,128.0,25.92,225.6,133.0,10.15,11.9,8,3.21,1.0,False,0.5752565564424174
DC,88,415,No,Yes,17,219.5,78.0,37.32,222.1,94.0,18.88,188.3,92.0,8.47,16.1,5,4.35,1.0,False,0.6257126567844926
VT,111,408,No,No,0,99.3,112.0,16.88,270.5,136.0,22.99,225.3,94.0,10.14,9.0,6,2.43,3.0,False,0.28306727480045607
NV,77,415,No,No,0,239.2,114.0,40.66,150.0,115.0,12.75,160.8,81.0,7.24,10.3,2,2.78,5.0,False,0.6818700114025085
OR,67,415,Yes,No,0,120.9,58.0,20.55,235.0,88.0,19.98,95.1,130.0,4.28,11.4,11,3.08,2.0,False,0.3446408209806157
AL,102,408,No,No,0,224.7,81.0,38.2,129.4,112.0,11.0,167.6,109.0,7.54,15.8,6,4.27,1.0,False,0.6405359179019384
ND,146,408,No,Yes,19,176.6,88.0,30.02,162.7,66.0,13.83,215.5,98.0,9.7,14.6,6,3.94,1.0,False,0.5034207525655644
FL,144,415,No,Yes,51,283.9,98.0,48.26,192.0,109.0,16.32,196.3,85.0,8.83,10.0,4,2.7,1.0,False,0.8092930444697832
NE,96,415,No,No,0,180.6,92.0,30.7,190.9,114.0,16.23,295.6,125.0,13.3,10.3,4,2.78,1.0,True,0.5148232611174458
ND,70,415,No,Yes,31,125.9,101.0,21.4,196.4,102.0,16.69,252.7,75.0,11.37,10.3,4,2.78,1.0,False,0.35889395667046753
ME,149,408,No,No,0,237.6,79.0,40.39,192.4,107.0,16.35,207.4,111.0,9.33,9.1,9,2.46,0.0,False,0.677309007981756
IL,129,415,No,No,0,198.4,91.0,33.73,264.7,106.0,22.5,111.4,101.0,5.01,9.2,2,2.48,2.0,False,0.5655644241733181
WA,166,408,No,No,0,274.3,110.0,46.63,52.9,109.0,4.5,246.1,119.0,11.07,10.9,5,2.94,0.0,False,0.7819270239452679
MA,136,408,Yes,No,0,199.6,89.0,33.93,211.4,96.0,17.97,72.4,84.0,3.26,11.0,4,2.97,3.0,True,0.5689851767388825
KS,149,510,No,No,0,217.7,91.0,37.01,273.5,74.0,23.25,226.9,99.0,10.21,9.6,3,2.59,3.0,False,0.6205815279361458
RI,70,415,No,No,0,134.7,96.0,22.9,235.9,90.0,20.05,260.2,113.0,11.71,7.6,6,2.05,3.0,False,0.3839794754846066
MO,120,415,No,Yes,24,212.7,73.0,36.16,257.5,103.0,21.89,227.8,119.0,10.25,9.7,13,2.62,2.0,False,0.6063283922462941
IA,66,510,No,No,0,256.3,135.0,43.57,180.2,106.0,15.32,187.3,135.0,8.43,6.2,7,1.67,2.0,False,0.7306157354618016
WY,104,408,No,No,0,183.6,133.0,31.21,120.7,98.0,10.26,215.1,112.0,9.68,12.7,2,3.43,1.0,False,0.5233751425313569
NV,160,415,No,No,0,176.2,90.0,29.95,196.0,115.0,16.66,263.9,95.0,11.88,9.2,4,2.48,1.0,False,0.5022805017103762
WI,129,415,No,Yes,37,205.0,94.0,34.85,165.4,103.0,14.06,185.0,81.0,8.32,11.7,8,3.16,1.0,False,0.5843785632839225
AL,93,408,No,No,0,267.9,114.0,45.54,223.0,74.0,18.96,262.7,90.0,11.82,11.3,3,3.05,3.0,True,0.7636830102622576
HI,169,415,No,No,0,179.2,111.0,30.46,175.2,130.0,14.89,228.6,92.0,10.29,9.9,6,2.67,2.0,False,0.5108323831242872
MO,58,415,No,No,0,149.4,145.0,25.4,196.5,105.0,16.7,209.5,108.0,9.43,14.9,3,4.02,1.0,False,0.4258836944127708
CA,75,510,No,Yes,38,163.6,132.0,27.81,146.7,113.0,12.47,345.8,115.0,15.56,13.1,3,3.54,3.0,False,0.46636259977194977
MO,45,408,No,No,0,207.6,71.0,35.29,152.7,94.0,12.98,217.8,125.0,9.8,12.4,13,3.35,1.0,False,0.5917901938426453
CT,155,510,No,No,0,165.4,108.0,28.12,183.7,103.0,15.61,80.2,108.0,3.61,8.9,4,2.4,3.0,False,0.4714937286202965
MD,52,415,No,No,0,209.8,114.0,35.67,171.3,82.0,14.56,154.6,119.0,6.96,9.9,9,2.67,4.0,False,0.5980615735461802
OH,119,415,No,Yes,27,220.1,128.0,37.42,268.2,133.0,22.8,146.5,80.0,6.59,11.1,3,3.0,0.0,False,0.6274230330672748
NV,86,510,No,No,0,141.3,72.0,24.02,154.3,95.0,13.12,210.6,91.0,9.48,8.2,5,2.21,1.0,False,0.40279361459521096
MD,42,408,No,No,0,196.5,89.0,33.41,241.3,123.0,20.51,143.2,105.0,6.44,4.0,7,1.08,0.0,False,0.5601482326111744
NE,127,510,Yes,No,0,180.9,114.0,30.75,209.5,118.0,17.81,249.9,105.0,11.25,7.4,4,2.0,2.0,False,0.515678449258837
OH,123,408,No,No,0,105.0,150.0,17.85,251.6,90.0,21.39,258.0,93.0,11.61,14.9,5,4.02,0.0,False,0.2993158494868871
MA,98,510,No,No,0,271.4,119.0,46.14,190.4,102.0,16.18,284.7,118.0,12.81,11.1,6,3.0,4.0,True,0.7736602052451539
OK,149,510,No,Yes,43,206.7,79.0,35.14,174.6,122.0,14.84,241.5,80.0,10.87,10.9,3,2.94,1.0,False,0.589224629418472
MA,160,408,No,No,0,166.8,109.0,28.36,236.0,117.0,20.06,307.6,77.0,13.84,9.3,1,2.51,1.0,False,0.475484606613455
WA,103,415,No,No,0,204.9,107.0,34.83,135.2,102.0,11.49,208.2,106.0,9.37,10.4,3,2.81,5.0,False,0.5840935005701254
HI,132,415,No,Yes,15,154.6,128.0,26.28,245.6,106.0,20.88,148.6,90.0,6.69,9.1,4,2.46,1.0,False,0.4407069555302166
CO,137,415,No,No,0,127.0,107.0,21.59,323.2,75.0,27.47,143.9,127.0,6.48,7.5,2,2.03,1.0,False,0.3620296465222349
FL,129,415,Yes,No,0,267.4,78.0,45.46,204.2,85.0,17.36,111.7,146.0,5.03,5.9,4,1.59,1.0,False,0.7622576966932725
WI,62,415,No,No,0,281.0,66.0,47.77,160.6,108.0,13.65,77.9,74.0,3.51,0.0,0,0.0,1.0,False,0.8010262257696693
ID,122,510,No,Yes,33,270.8,96.0,46.04,220.4,110.0,18.73,169.9,104.0,7.65,11.8,8,3.19,4.0,False,0.7719498289623717
WY,32,408,No,No,0,171.2,82.0,29.1,185.6,102.0,15.78,203.3,64.0,9.15,10.2,7,2.75,1.0,False,0.4880273660205245
GA,86,510,No,No,0,124.1,82.0,21.1,202.6,120.0,17.22,289.6,119.0,13.03,6.7,8,1.81,3.0,False,0.3537628278221208
FL,130,415,No,No,0,162.8,113.0,27.68,290.3,111.0,24.68,114.9,140.0,5.17,7.2,3,1.94,1.0,False,0.4640820980615736
WY,42,408,No,No,0,146.3,84.0,24.87,255.9,113.0,21.75,45.0,117.0,2.03,8.0,12,2.16,1.0,False,0.4170467502850627
DE,73,415,No,No,0,254.8,85.0,43.32,143.4,80.0,12.19,153.9,102.0,6.93,15.0,7,4.05,2.0,False,0.7263397947548461
ME,66,408,No,Yes,26,254.9,108.0,43.33,243.2,135.0,20.67,190.8,95.0,8.59,5.4,3,1.46,2.0,False,0.7266248574686431
DC,103,510,No,Yes,31,107.7,124.0,18.31,188.9,104.0,16.06,196.2,98.0,8.83,8.9,3,2.4,0.0,False,0.3070125427594071
IA,128,408,No,No,0,158.8,75.0,27.0,264.8,91.0,22.51,270.0,77.0,12.15,7.6,7,2.05,1.0,False,0.45267958950969217
CO,104,415,No,No,0,182.9,113.0,31.09,239.6,85.0,20.37,229.8,104.0,10.34,5.5,4,1.49,2.0,False,0.5213797035347777
MN,103,415,No,No,0,198.5,112.0,33.75,42.5,90.0,3.61,179.2,124.0,8.06,12.4,5,3.35,0.0,False,0.5658494868871151
VT,124,415,No,No,0,178.4,72.0,30.33,233.6,134.0,19.86,179.4,91.0,8.07,12.0,2,3.24,0.0,False,0.508551881413911
AZ,87,510,No,No,0,110.9,91.0,18.85,158.5,115.0,13.47,207.5,131.0,9.34,6.2,5,1.67,1.0,False,0.3161345496009122
LA,109,415,No,Yes,27,166.9,85.0,28.37,221.2,92.0,18.8,197.3,97.0,8.88,12.3,4,3.32,1.0,True,0.475769669327252
MO,167,415,Yes,No,0,244.8,91.0,41.62,60.8,105.0,5.17,176.7,110.0,7.95,10.7,3,2.89,2.0,False,0.6978335233751426
ME,97,510,No,No,0,120.8,96.0,20.54,169.8,101.0,14.43,194.1,63.0,8.73,11.9,3,3.21,4.0,True,0.3443557582668187
MD,106,415,No,No,0,165.3,118.0,28.1,210.0,101.0,17.85,187.2,93.0,8.42,8.5,3,2.3,2.0,False,0.47120866590649946
VT,125,415,No,No,0,126.7,113.0,21.54,155.5,131.0,13.22,206.2,112.0,9.28,14.4,7,3.89,2.0,False,0.3611744583808438
DC,108,408,No,Yes,35,215.9,106.0,36.7,200.6,107.0,17.05,195.4,107.0,8.79,15.5,7,4.19,0.0,False,0.6154503990877993
WY,125,415,No,No,0,140.1,132.0,23.82,209.6,126.0,17.82,264.1,77.0,11.88,8.0,2,2.16,1.0,False,0.3993728620296465
VA,89,415,No,Yes,32,209.9,113.0,35.68,249.8,104.0,21.23,224.2,92.0,10.09,8.7,7,2.35,1.0,False,0.5983466362599772
VA,72,510,Yes,Yes,29,139.8,114.0,23.77,138.2,91.0,11.75,221.0,88.0,9.95,5.5,6,1.49,0.0,False,0.39851767388825543
CT,23,510,No,No,0,321.6,107.0,54.67,251.6,115.0,21.39,141.1,158.0,6.35,11.3,3,3.05,2.0,True,0.9167616875712657
HI,149,510,No,No,0,166.6,61.0,28.32,218.8,107.0,18.6,208.3,131.0,9.37,8.2,6,2.21,7.0,False,0.4749144811858609
WI,73,415,No,No,0,214.2,90.0,36.41,196.8,78.0,16.73,157.9,112.0,7.11,5.9,8,1.59,0.0,False,0.6106043329532497
MD,61,415,No,No,0,260.0,123.0,44.2,210.5,127.0,17.89,234.7,70.0,10.56,9.0,3,2.43,1.0,True,0.7411630558722919
WV,161,415,No,No,0,191.9,113.0,32.62,70.9,87.0,6.03,204.8,107.0,9.22,13.4,4,3.62,4.0,True,0.5470353477765109
VT,73,408,No,No,0,213.0,95.0,36.21,188.8,104.0,16.05,136.2,89.0,6.13,13.5,3,3.65,0.0,False,0.6071835803876853
UT,118,415,No,Yes,24,118.1,83.0,20.08,109.6,72.0,9.32,245.5,73.0,11.05,16.9,2,4.56,1.0,False,0.3366590649942987
CO,23,408,No,No,0,190.2,89.0,32.33,166.4,108.0,14.14,219.8,73.0,9.89,15.0,4,4.05,6.0,False,0.5421892816419612
NC,127,415,No,Yes,25,82.2,95.0,13.97,163.3,109.0,13.88,264.9,104.0,11.92,5.1,6,1.38,0.0,False,0.23432155074116306
NJ,42,415,No,Yes,32,163.8,80.0,27.85,177.8,123.0,15.11,190.4,106.0,8.57,8.1,5,2.19,0.0,False,0.46693272519954393
AR,118,415,No,No,0,267.8,145.0,45.53,316.4,121.0,26.89,208.6,91.0,9.39,14.4,11,3.89,5.0,True,0.7633979475484607
IA,45,510,No,No,0,159.8,91.0,27.17,120.4,86.0,10.23,163.0,93.0,7.34,10.6,3,2.86,2.0,False,0.4555302166476625
GA,50,408,No,Yes,24,214.3,129.0,36.43,289.8,55.0,24.63,312.5,130.0,14.06,10.6,4,2.86,1.0,False,0.6108893956670468
MO,179,510,No,No,0,287.3,123.0,48.84,288.0,114.0,24.48,266.0,112.0,11.97,10.5,4,2.84,0.0,True,0.8189851767388826
MO,152,408,No,No,0,101.2,122.0,17.2,141.6,87.0,12.04,198.5,124.0,8.93,7.5,3,2.03,2.0,False,0.28848346636259975
WY,105,415,No,No,0,102.8,74.0,17.48,281.7,125.0,23.94,228.1,113.0,10.26,13.2,5,3.56,2.0,False,0.2930444697833523
HI,72,415,No,No,0,109.1,97.0,18.55,115.7,96.0,9.83,295.8,84.0,13.31,8.3,6,2.24,0.0,False,0.31100342075256554
PA,52,408,No,No,0,215.9,67.0,36.7,217.0,108.0,18.45,342.8,130.0,15.43,5.2,2,1.4,1.0,False,0.6154503990877993
TX,125,415,No,No,0,203.4,110.0,34.58,128.7,97.0,10.94,190.5,113.0,8.57,11.0,4,2.97,1.0,False,0.5798175598631699
VA,143,510,No,No,0,110.1,113.0,18.72,169.0,59.0,14.37,166.7,94.0,7.5,9.2,2,2.48,1.0,False,0.3138540478905359
RI,65,415,No,No,0,111.0,51.0,18.87,219.8,84.0,18.68,202.0,89.0,9.09,4.4,14,1.19,1.0,False,0.3164196123147092
WI,80,415,No,No,0,239.9,121.0,40.78,142.3,51.0,12.1,364.3,106.0,16.39,9.3,5,2.51,1.0,False,0.6838654503990877
MS,1,415,No,No,0,144.8,107.0,24.62,112.5,66.0,9.56,218.7,79.0,9.84,13.8,3,3.73,1.0,False,0.4127708095781072
KY,60,408,No,No,0,135.4,134.0,23.02,205.9,85.0,17.5,204.0,103.0,9.18,7.9,4,2.13,1.0,False,0.38597491448118587
NC,43,415,No,No,0,84.2,134.0,14.31,80.8,103.0,6.87,196.1,79.0,8.82,10.8,2,2.92,1.0,False,0.24002280501710377
NV,143,415,No,No,0,209.1,127.0,35.55,106.1,80.0,9.02,179.6,90.0,8.08,14.0,6,3.78,0.0,False,0.5960661345496009
UT,81,415,No,Yes,24,130.1,117.0,22.12,196.0,61.0,16.66,139.3,123.0,6.27,11.4,5,3.08,0.0,False,0.370866590649943
ME,205,510,No,Yes,24,175.8,139.0,29.89,155.0,98.0,13.18,180.7,64.0,8.13,7.8,5,2.11,2.0,False,0.5011402508551882
HI,24,415,No,No,0,241.9,104.0,41.12,145.2,112.0,12.34,214.5,105.0,9.65,6.6,5,1.78,1.0,False,0.6895667046750285
OH,74,415,No,No,0,136.7,106.0,23.24,228.6,105.0,19.43,265.3,114.0,11.94,9.8,4,2.65,0.0,False,0.3896807297605473
WV,77,510,No,No,0,67.7,68.0,11.51,195.7,86.0,16.63,236.5,137.0,10.64,12.0,2,3.24,1.0,False,0.19298745724059294
OK,74,415,No,No,0,200.4,87.0,34.07,309.2,105.0,26.28,152.1,118.0,6.84,10.0,2,2.7,1.0,False,0.5712656784492588
KY,74,510,Yes,No,0,125.8,103.0,21.39,207.7,96.0,17.65,207.4,143.0,9.33,14.1,4,3.81,1.0,True,0.35860889395667045
AL,200,408,No,No,0,128.2,87.0,21.79,133.2,105.0,11.32,177.6,123.0,7.99,11.2,2,3.02,1.0,False,0.36545039908779925
MD,86,408,No,No,0,226.3,88.0,38.47,223.0,107.0,18.96,255.6,92.0,11.5,13.0,3,3.51,4.0,False,0.645096921322691
NE,91,510,No,Yes,37,162.3,107.0,27.59,233.9,115.0,19.88,277.4,94.0,12.48,9.2,4,2.48,0.0,False,0.4626567844925884
DC,76,415,No,No,0,224.4,121.0,38.15,147.9,97.0,12.57,183.8,74.0,8.27,6.7,2,1.81,2.0,False,0.6396807297605474
TX,130,415,No,No,0,120.5,127.0,20.49,189.7,52.0,16.12,270.1,107.0,12.15,14.3,2,3.86,1.0,False,0.34350057012542756
OH,56,408,No,No,0,91.1,90.0,15.49,179.3,115.0,15.24,300.7,89.0,13.53,11.9,8,3.21,2.0,False,0.25969213226909915
DE,117,415,No,No,0,168.8,137.0,28.7,241.4,107.0,20.52,204.8,106.0,9.22,15.5,4,4.19,0.0,False,0.4811858608893957
IA,63,510,No,No,0,153.5,81.0,26.1,287.3,115.0,24.42,230.2,85.0,10.36,6.5,5,1.76,2.0,False,0.43757126567844923
VT,126,415,No,No,0,226.2,88.0,38.45,140.3,114.0,11.93,208.9,110.0,9.4,6.4,2,1.73,0.0,False,0.6448118586088939
OR,132,510,No,No,0,191.9,107.0,32.62,206.9,127.0,17.59,272.0,88.0,12.24,12.6,2,3.4,1.0,False,0.5470353477765109
NV,81,415,No,Yes,28,167.9,147.0,28.54,190.7,105.0,16.21,193.0,103.0,8.69,9.2,6,2.48,4.0,True,0.47862029646522236
NC,122,415,No,No,0,180.0,88.0,30.6,145.0,77.0,12.33,233.7,120.0,10.52,11.5,6,3.11,2.0,False,0.5131128848346637
NJ,46,408,No,No,0,257.4,67.0,43.76,261.1,91.0,22.19,204.4,107.0,9.2,13.4,5,3.62,2.0,True,0.7337514253135689
MN,150,415,No,Yes,28,174.4,75.0,29.65,169.9,80.0,14.44,201.6,130.0,9.07,11.0,4,2.97,1.0,False,0.49714937286202965
ID,99,408,No,No,0,159.7,83.0,27.15,155.4,121.0,13.21,255.7,114.0,11.51,8.4,3,2.27,1.0,False,0.4552451539338654
AL,87,408,No,No,0,237.2,124.0,40.32,222.6,87.0,18.92,173.3,81.0,7.8,11.0,3,2.97,1.0,False,0.6761687571265678
AK,108,415,No,No,0,103.0,129.0,17.51,242.3,103.0,20.6,170.2,89.0,7.66,7.9,3,2.13,1.0,False,0.2936145952109464
VT,101,415,No,No,0,153.8,89.0,26.15,234.0,89.0,19.89,196.3,77.0,8.83,11.6,2,3.13,4.0,False,0.43842645381984036
PA,53,415,No,No,0,205.1,86.0,34.87,160.5,95.0,13.64,149.5,142.0,6.73,10.7,2,2.89,3.0,False,0.5846636259977195
AK,132,415,No,Yes,39,175.7,93.0,29.87,187.2,94.0,15.91,225.5,118.0,10.15,8.6,3,2.32,2.0,False,0.5008551881413911
CA,158,510,No,No,0,155.9,123.0,26.5,224.2,112.0,19.06,221.0,116.0,9.95,8.6,8,2.32,2.0,False,0.4444127708095781
MS,114,415,No,Yes,34,154.4,109.0,26.25,221.4,142.0,18.82,208.5,103.0,9.38,10.3,5,2.78,0.0,False,0.44013683010262256
AR,77,415,No,Yes,23,209.7,73.0,35.65,183.6,63.0,15.61,205.5,111.0,9.25,7.1,3,1.92,2.0,False,0.597776510832383
NV,144,415,Yes,No,0,150.0,69.0,25.5,285.9,73.0,24.3,190.6,121.0,8.58,9.4,15,2.54,0.0,False,0.427594070695553
AL,91,510,No,Yes,23,232.4,97.0,39.51,186.0,88.0,15.81,190.5,128.0,8.57,12.3,3,3.32,3.0,False,0.6624857468643102
GA,58,408,No,No,0,165.4,100.0,28.12,115.7,87.0,9.83,193.8,118.0,8.72,12.8,5,3.46,2.0,False,0.4714937286202965
AR,5,415,No,No,0,199.2,106.0,33.86,187.3,12.0,15.92,214.0,85.0,9.63,13.3,3,3.59,3.0,False,0.5678449258836944
MA,97,408,No,No,0,217.6,81.0,36.99,320.5,51.0,27.24,150.7,110.0,6.78,4.2,3,1.13,0.0,False,0.6202964652223488
NJ,107,415,No,No,0,212.1,95.0,36.06,150.1,88.0,12.76,219.8,111.0,9.89,7.7,2,2.08,3.0,False,0.604618015963512
MO,142,415,No,Yes,30,154.0,75.0,26.18,165.8,97.0,14.09,270.0,83.0,12.15,10.8,5,2.92,1.0,False,0.4389965792474344
NY,9,408,No,Yes,31,193.8,130.0,32.95,202.6,98.0,17.22,191.2,102.0,8.6,13.3,2,3.59,1.0,False,0.5524515393386545
AZ,73,415,No,No,0,175.4,130.0,29.82,248.1,105.0,21.09,122.4,85.0,5.51,12.2,4,3.29,0.0,False,0.5
NJ,48,510,No,Yes,22,152.0,63.0,25.84,258.8,131.0,22.0,263.2,109.0,11.84,15.7,5,4.24,2.0,True,0.4332953249714937
WV,43,408,No,No,0,230.2,147.0,39.13,186.7,121.0,15.87,128.4,100.0,5.78,9.2,3,2.48,0.0,False,0.6562143671607753
NM,122,408,No,Yes,33,174.9,103.0,29.73,248.2,105.0,21.1,164.6,116.0,7.41,13.5,3,3.65,1.0,True,0.4985746864310148
SC,93,415,No,No,0,190.2,68.0,32.33,262.2,64.0,22.29,130.0,92.0,5.85,8.8,4,2.38,0.0,False,0.5421892816419612
VT,85,415,No,No,0,176.4,122.0,29.99,224.9,123.0,19.12,219.6,50.0,9.88,11.5,1,3.11,1.0,False,0.5028506271379704
TN,59,415,No,No,0,160.9,95.0,27.35,251.2,65.0,21.35,273.4,97.0,12.3,5.0,5,1.35,3.0,False,0.4586659064994299
LA,87,415,No,No,0,228.7,90.0,38.88,163.0,99.0,13.86,154.1,90.0,6.93,11.8,3,3.19,1.0,False,0.6519384264538198
OH,137,408,No,No,0,144.0,90.0,24.48,181.6,100.0,15.44,128.1,93.0,5.76,12.3,2,3.32,0.0,False,0.4104903078677309
OR,21,510,No,Yes,31,135.9,90.0,23.1,271.0,84.0,23.04,179.1,89.0,8.06,9.5,7,2.57,6.0,False,0.38740022805017105
DE,129,510,No,No,0,334.3,118.0,56.83,192.1,104.0,16.33,191.0,83.0,8.59,10.4,6,2.81,0.0,True,0.9529646522234891
KY,104,415,No,No,0,130.5,77.0,22.19,131.2,117.0,11.15,264.7,63.0,11.91,13.0,6,3.51,0.0,False,0.37200684150513114
GA,93,408,No,Yes,21,134.2,105.0,22.81,162.5,128.0,13.81,186.6,90.0,8.4,11.8,2,3.19,4.0,True,0.3825541619156214
VT,63,415,No,No,0,278.0,102.0,47.26,266.4,114.0,22.64,224.1,118.0,10.08,13.1,4,3.54,4.0,True,0.7924743443557583
OR,161,415,No,No,0,105.4,70.0,17.92,214.8,122.0,18.26,223.6,126.0,10.06,7.8,5,2.11,0.0,False,0.30045610034207526
TX,50,510,No,No,0,188.9,94.0,32.11,203.9,104.0,17.33,151.8,124.0,6.83,11.6,8,3.13,3.0,False,0.5384834663625998
MO,103,408,No,Yes,24,111.8,85.0,19.01,239.6,102.0,20.37,268.3,81.0,12.07,6.9,4,1.86,1.0,False,0.3187001140250855
